"score","medication","name"
60,"Flovent Diskus 100 MCG/BLIST Inhalation Aerosol Powder Breath Activated","60 ACTUAT Fluticasone propionate 0.1 MG/ACTUAT Dry Powder Inhaler [Flovent]"
60,"Flovent Diskus 50 MCG/BLIST Inhalation Aerosol Powder Breath Activated","60 ACTUAT Fluticasone propionate 0.05 MG/ACTUAT Dry Powder Inhaler [Flovent]"
60,"Integra Plus Oral Capsule","Acetaminophen 500 MG / butalbital 50 MG / Caffeine 40 MG Oral Capsule [Esgic]"
60,"Lidoderm 5 % External Patch","Lidocaine Hydrochloride 0.05 MG/MG Transdermal Patch [Lidoderm]"
60,"Lupron Depot 3.75 MG Intramuscular Kit","1.5 ML Leuprolide Acetate 20 MG/ML Prefilled Syringe [Lupron]"
60,"Lupron Depot-Ped 15 MG Intramuscular Kit","1.5 ML Leuprolide Acetate 20 MG/ML Prefilled Syringe [Lupron]"
60,"Lupron Depot-Ped 7.5 MG Intramuscular Kit","1 ML Leuprolide Acetate 7.5 MG/ML Prefilled Syringe [Lupron]"
60,"Metrogel 1 % External Gel","Metronidazole 0.01 MG/MG Topical Gel [MetroGel]"
60,"Naftin 1 % External Cream","Naftifine hydrochloride 10 MG/ML Topical Cream [Naftin]"
60,"Ortho Tri-Cyclen (28) 0.18/0.215/0.25 MG-35 MCG Oral Tablet","{21 (Ethinyl Estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Ortho-Cyclen 28 Day]"
60,"Oxistat 1 % External Cream","oxiconazole 10 MG/ML Topical Cream [Oxistat]"
60,"Renvela 0.8 GM Oral Packet","sevelamer carbonate 26.7 MG/ML Oral Suspension [Renvela]"
60,"Trelstar LA 11.25 MG Intramuscular Suspension Reconstituted","Triptorelin 5.63 MG/ML Injectable Suspension [Trelstar]"
60,"Ulesfia 5 % External Lotion","Benzyl Alcohol 0.05 ML/ML Topical Lotion [Ulesfia]"
60,"Uroxatral 10 MG TBCR","Alfuzosin hydrochloride 10 MG [UroXatral]"
60,"Ursodiol 60mg/ml","Ursodiol 50 MG/ML"
60,"Voltaren 1 % Transdermal Gel","Diclofenac Sodium 0.01 MG/MG Topical Gel [Voltaren]"
60,"Zovirax 5 % External Cream","Acyclovir 50 MG/ML Topical Cream [Zovirax]"
60,"Zovirax 5 % External Ointment","Acyclovir 0.05 MG/MG Topical Ointment [Zovirax]"
62,"EpiPen 2-Pak 0.3 MG/0.3ML Injection Device","0.3 ML Epinephrine 1 MG/ML Prefilled Syringe [Epipen]"
62,"HumuLIN 70/30 Pen 70-30 % Subcutaneous Suspension","3 ML NPH Insulin, Human 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Prefilled Syringe [Humulin]"
62,"Namenda Titration Pak 5 (28)-10 (21) MG Oral Tablet","{21 (Memantine hydrochloride 10 MG Oral Tablet [Namenda]) / 28 (Memantine hydrochloride 5 MG Oral Tablet [Namenda]) } Pack [Namenda 49 Titration Pack]"
62,"Oscal 500/200 D-3 500-200 MG-UNIT Oral Tablet","Calcium Carbonate 1250 MG / Cholecalciferol 200 UNT Oral Tablet [Oysco 500 with D]"
62,"Tri-Sprintec 0.18/0.215/0.25 MG-35 MCG Oral Tablet","{21 (Ethinyl Estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Sprintec 28 Day]"
63,"GlucaGen 1 MG Injection Solution Reconstituted","Glucagon 1 MG/ML Injectable Solution [GlucaGen]"
63,"Iron Supplement 325 (65 Fe) MG Oral Tablet","ferrous sulfate 325 MG Oral Tablet"
63,"Klor-Con 20 MEQ Oral Packet","Potassium Chloride 0.167 MEQ/ML Oral Solution [Klor-Con]"
63,"Kristalose 10 GM Oral Packet","Lactulose 83.3 MG/ML Oral Solution [Kristalose]"
63,"Kristalose 20 GM Oral Packet","Lactulose 167 MG/ML Oral Solution [Kristalose]"
63,"NexIUM 10 MG Oral Packet","Esomeprazole 0.667 MG/ML Oral Suspension [Nexium]"
63,"NexIUM 20 MG Oral Packet","Esomeprazole 1.33 MG/ML Oral Suspension [Nexium]"
63,"NexIUM 40 MG Oral Packet","Esomeprazole 2.67 MG/ML Oral Suspension [Nexium]"
63,"Nitrolingual 0.4 MG/SPRAY Translingual Solution","Nitroglycerin 0.4 MG/ACTUAT Mucosal Spray [Nitrolingual]"
63,"Orencia 250 MG Intravenous Solution Reconstituted","abatacept 25 MG/ML Injectable Solution [Orencia]"
63,"PriLOSEC 10 MG Oral Packet","Omeprazole 0.667 MG/ML Oral Suspension [Prilosec]"
63,"Qvar 40 MCG/ACT Inhalation Aerosol Solution","100 ACTUAT Beclomethasone Dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar]"
63,"Remicade 100 MG Intravenous Solution Reconstituted","infliximab 10 MG/ML Injectable Solution [Remicade]"
63,"Simply Saline 0.9 % Nasal Aerosol Solution","Sodium Chloride 0.154 MEQ/ML Nasal Spray [Simply Saline]"
63,"Solu-CORTEF 100 MG Injection Solution Reconstituted","Hydrocortisone 50 MG/ML Injectable Solution [Solu-Cortef]"
63,"Triamcinolone Acetonide 0.1 % Mouth/Throat Paste","Triamcinolone Acetonide 0.001 MG/MG Oral Paste"
63,"Vitamax 60 MG Oral Tablet Chewable","Ascorbic Acid 60 MG Chewable Tablet"
63,"Xolair 150 MG Subcutaneous Solution Reconstituted","omalizumab 125 MG/ML Injectable Solution [Xolair]"
63,"Zithromax 1 GM Oral Packet","Azithromycin 16.7 MG/ML Oral Suspension [Zithromax]"
64,"Augmentin 125-31.25 MG/5ML Oral Suspension Reconstituted","Amoxicillin 25 MG/ML / Clavulanate 6.25 MG/ML Oral Suspension [Augmentin]"
64,"EpiPen Jr 2-Pak 0.15 MG/0.3ML Injection Device","0.3 ML Epinephrine 0.5 MG/ML Prefilled Syringe [Epipen]"
64,"Ferrous Sulfate 300 (60 Fe) MG/5ML Oral Syrup","ferrous sulfate 60 MG/ML Oral Solution"
64,"Guaifenesin-Codeine 200-10 MG/5ML LIQD","Codeine Phosphate 2 MG/ML / Guaifenesin 40 MG/ML Oral Solution"
64,"Ortho Evra 150-20 MCG/24HR Transdermal Patch Weekly","168 HR Ethinyl Estradiol 0.00146 MG/HR / norelgestromin 0.00625 MG/HR Transdermal Patch [Ortho Evra]"
64,"Robafen AC 100-10 MG/5ML Oral Syrup","Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML Oral Solution [Robafen AC]"
64,"Ru-Tuss DM 45-15-100 MG/5ML Oral Syrup","Dextromethorphan Hydrobromide 3 MG/ML Oral Solution"
64,"Sildec PE-DM 12.5-4-15 MG/5ML Oral Syrup","Brompheniramine 0.8 MG/ML / Dextromethorphan 3 MG/ML / Phenylephrine 2.5 MG/ML Oral Solution"
67,"4-Aminopyridine Powder","dalfampridine"
67,"Anti-Fungal 1 % External Cream","Clotrimazole 10 MG/ML Topical Cream"
67,"Astepro 0.15 % Nasal Solution","200 ACTUAT Azelastine hydrochloride 0.206 MG/ACTUAT Nasal Inhaler [Astepro]"
67,"Auralgan SOLN","Antipyrine 54 MG/ML / Benzocaine 14 MG/ML Otic Solution [Auralgan]"
67,"BenzaClin 1-5 % External Gel","Benzoyl Peroxide 0.05 MG/MG / Clindamycin 0.01 MG/MG Topical Gel [Benzaclin]"
67,"Benzoyl Peroxide Creamy Wash 4 % LIQD","Benzoyl Peroxide 40 MG/ML Medicated Liquid Soap"
67,"Brompheniramine-Pseudoeph 9-90 MG Oral Capsule Extended Release 12 Hour","24 HR Brompheniramine 12 MG Extended Release Oral Capsule"
67,"Calcium 600+D Plus Minerals 600-400 MG-UNIT Oral Tablet","Calcium Carbonate 1500 MG / Cholecalciferol 200 UNT Oral Tablet"
67,"Chlorhexidine Gluconate 0.12 % Mouth/Throat Solution","chlorhexidine gluconate 1.2 MG/ML Mouthwash"
67,"Cipro 250 MG/5ML (5%) Oral Suspension Reconstituted","Ciprofloxacin 50 MG/ML Oral Suspension [Cipro]"
67,"Clobetasol Propionate E 0.05 % External Cream","Clobetasol Propionate 0.5 MG/ML Topical Cream"
67,"Clonidine Patch","Clonidine Transdermal Patch"
67,"Clotrimazole 10 MG Mouth/Throat Troche","Clotrimazole 10 MG Oral Lozenge"
67,"Combivent 18-103 MCG/ACT Inhalation Aerosol","200 ACTUAT Albuterol 0.09 MG/ACTUAT / Ipratropium Bromide 0.018 MG/ACTUAT Metered Dose Inhaler [Combivent]"
67,"Condylox 0.5 % External Gel","podofilox 0.005 MG/MG Topical Gel [Condylox]"
67,"Creon 12000 UNIT Oral Capsule Delayed Release Particles","Amylases 60000 UNT / Endopeptidases 38000 UNT / Lipase 12000 UNT Delayed Release Oral Capsule [Creon]"
67,"Creon 24000 UNIT Oral Capsule Delayed Release Particles","Amylases 120000 UNT / Endopeptidases 76000 UNT / Lipase 24000 UNT Delayed Release Oral Capsule [Creon]"
67,"Creon 6000 UNIT Oral Capsule Delayed Release Particles","Amylases 30000 UNT / Endopeptidases 19000 UNT / Lipase 6000 UNT Delayed Release Oral Capsule [Creon]"
67,"Depakote Sprinkles 125 MG Oral Capsule Sprinkle","Divalproex Sodium 125 MG Delayed Release Oral Capsule [Depakote]"
67,"Differin 0.1 % External Cream","adapalene 1 MG/ML Topical Cream [Differin]"
67,"DiphenhydrAMINE Cough 12.5 MG/5ML SYRP","Diphenhydramine Hydrochloride 2.5 MG/ML Oral Solution"
67,"Dovonex 0.005 % External Cream","calcipotriene 0.05 MG/ML Topical Cream [Dovonex]"
67,"Dulera 100-5 MCG/ACT Inhalation Aerosol","120 ACTUAT formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler [Dulera]"
67,"Ergocalciferol TABS","Ergocalciferol Oral Tablet"
67,"Ferrous Sulfate 75 (15 Fe) MG/0.6ML SOLN","ferrous sulfate 125 MG/ML Oral Solution"
67,"Fish Oil OIL","Fish Oils"
67,"GlucaGen HypoKit 1 MG Injection Solution Reconstituted","Glucagon 1 MG/ML Injectable Solution [GlucaGen]"
67,"Hydrocod Polst-Chlorphen Polst 10-8 MG/5ML Oral Liquid Extended Release","12 HR CHLORPHENIRAMINE POLISTIREX 1.6 MG/ML / HYDROCODONE POLISTIREX 2 MG/ML Extended Release Suspension"
67,"IG-IV (HUMAN)","Immunoglobulins, Intravenous"
67,"Intron-A 10000000 UNIT/ML Injection Solution","Interferon Alfa-2b 10000000 UNT/ML Injectable Solution [Intron A]"
67,"Lactulose Solution","Lactulose Oral Solution"
67,"Levora 0.15/30 (28) 0.15-30 MG-MCG Oral Tablet","{21 (Ethinyl Estradiol 0.03 MG / Levonorgestrel 0.15 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Levora 0.15/30 28 Day]"
67,"Lidocaine Viscous 2 % Mouth/Throat Solution","Lidocaine Hydrochloride 20 MG/ML Topical Solution"
67,"Magic Mouthwash","Mouthwash"
67,"Neomycin-Polymyxin-Dexameth 3.5-10000-0.1 Ophthalmic Suspension","Dexamethasone 1 MG/ML / Neomycin 3.5 MG/ML / Polymyxin B 10000 UNT/ML Ophthalmic Suspension"
67,"Nystatin Powder (XX)","Nystatin 100000 UNT/ML Oral Suspension"
67,"Protonix 40 MG Oral Packet","pantoprazole 40 MG Oral Granules [Protonix]"
67,"Protopic 0.03 % External Ointment","Tacrolimus 0.0003 MG/MG Topical Ointment [Protopic]"
67,"Protopic 0.1 % External Ointment","Tacrolimus 0.001 MG/MG Topical Ointment [Protopic]"
67,"QC Ferrous Sulfate 325 (65 Fe) MG Oral Tablet","ferrous sulfate 325 MG Oral Tablet"
67,"Regranex 0.01 % External Gel","Becaplermin 0.0001 MG/MG Topical Gel [Regranex]"
