"medication","medication_definition_id","indications","rxcui","score","rank","nAtoms","name","synonym","tty","language","suppress","umlscui","ttypriority"
"Acetaminophen 160 MG/5ML Oral Liquid",97755,1,307675,100,1,15,"Acetaminophen 32 MG/ML Oral Solution","APAP 32 MG/ML Oral Solution","SCD","ENG","N","C0973757",1
"Acetaminophen 160 MG/5ML Oral Suspension",138243,2,307668,100,1,8,"Acetaminophen 32 MG/ML Oral Suspension","APAP 32 MG/ML Oral Suspension","SCD","ENG","N","C0973749",1
"Acetaminophen 325 MG Oral Tablet",12422,2,313782,100,1,33,"Acetaminophen 325 MG Oral Tablet","APAP 325 MG Oral Tablet","SCD","ENG","N","C0981193",1
"Acetaminophen 325 MG/10.15ML Oral Suspension",138373,2,307668,100,1,6,"Acetaminophen 32 MG/ML Oral Suspension","APAP 32 MG/ML Oral Suspension","SCD","ENG","N","C0973749",1
"Acetaminophen 500 MG Oral Tablet",12340,3,198440,100,1,40,"Acetaminophen 500 MG Oral Tablet","APAP 500 MG Oral Tablet","SCD","ENG","N","C0691089",1
"Acetaminophen 650 MG Oral Tablet Extended Release",130859,2,1148399,100,1,14,"8 HR Acetaminophen 650 MG Extended Release Oral Tablet","8 HR APAP 650 MG Extended Release Oral Tablet","SCD","ENG","N","C3186998",1
"Acetaminophen 80 MG/0.8ML Oral Suspension",26304,3,243675,100,1,11,"Acetaminophen 100 MG/ML Oral Suspension","APAP 100 MG/ML Oral Suspension","SCD","ENG","N","C0783434",1
"Acetaminophen-Codeine #3 300-30 MG Oral Tablet",21235,27,993781,78,1,32,"Acetaminophen 300 MG / Codeine Phosphate 30 MG Oral Tablet","APAP 300 MG / codeine phosphate 30 MG Oral Tablet","SCD","ENG","N","C0975855",1
"Acetaminophen-Codeine #4 300-60 MG Oral Tablet",28270,1,993890,78,1,19,"Acetaminophen 300 MG / Codeine Phosphate 60 MG Oral Tablet","APAP 300 MG / codeine phosphate 60 MG Oral Tablet","SCD","ENG","N","C0687768",1
"Acetaminophen-Codeine 120-12 MG/5ML Oral Solution",97639,4,993755,90,1,7,"Acetaminophen 24 MG/ML / Codeine Phosphate 2.4 MG/ML Oral Solution","APAP 24 MG/ML / Codeine Phosphate 2.4 MG/ML Oral Solution","SCD","ENG","N","C0791054",1
"AcetaZOLAMIDE 250 MG Oral Tablet",12347,1,197304,100,1,18,"Acetazolamide 250 MG Oral Tablet","","SCD","ENG","N","C0687773",1
"Acetylcysteine 10 % Inhalation Solution",12431,1,307718,100,1,10,"Acetylcysteine 100 MG/ML Inhalant Solution","acetylcysteine 10 % Inhalant Solution","SCD","ENG","N","C0973805",1
"Aciphex 20 MG Oral Tablet Delayed Release",25306,5,854870,100,1,12,"Rabeprazole sodium 20 MG Delayed Release Oral Tablet [Aciphex]","Aciphex 20 MG Delayed Release Oral Tablet","SBD","ENG","N","C1578243",2
"Actemra 200 MG/10ML Intravenous Solution",155433,1,895764,75,1,11,"tocilizumab 20 MG/ML Injectable Solution [Actemra]","Actemra 20 MG/ML Injectable Solution","SBD","ENG","N","C2731650",2
"Actemra 400 MG/20ML Intravenous Solution",155434,1,895764,86,1,11,"tocilizumab 20 MG/ML Injectable Solution [Actemra]","Actemra 20 MG/ML Injectable Solution","SBD","ENG","N","C2731650",2
"Activella 0.5-0.1 MG Oral Tablet",137045,2,1359125,89,1,12,"{28 (Estradiol 0.5 MG / norethindrone acetate 0.1 MG Oral Tablet) } Pack [Activella 0.5/0.1 28 Day]","Activella 0.5/0.1 28 Day Pack","BPCK","ENG","N","C1962543",12
"Actonel 150 MG Oral Tablet",143249,5,905030,100,1,7,"risedronate sodium 150 MG Oral Tablet [Actonel]","Actonel 150 MG Oral Tablet","SBD","ENG","N","C2342820",2
"Actonel 30 MG Oral Tablet",30480,2,905034,100,1,6,"risedronate sodium 30 MG Oral Tablet [Actonel]","Actonel 30 MG Oral Tablet","SBD","ENG","N","C1576923",2
"Actonel 35 MG Oral Tablet",100890,4,905026,100,1,4,"risedronate sodium 35 MG Oral Tablet [Actonel]","Actonel 35 MG Oral Tablet","SBD","ENG","N","C1576925",2
"Actoplus Met 15-500 MG Oral Tablet",131226,3,861785,100,1,9,"Metformin hydrochloride 500 MG / pioglitazone 15 MG Oral Tablet [Actoplus Met]","Actoplus Met 15/500 MG Oral Tablet","SBD","ENG","N","C1628533",2
"Actoplus Met 15-850 MG Oral Tablet",131074,3,861824,100,1,10,"Metformin hydrochloride 850 MG / pioglitazone 15 MG Oral Tablet [Actoplus Met]","Actoplus Met 15/850 MG Oral Tablet","SBD","ENG","N","C1628274",2
"Actos 15 MG Oral Tablet",25188,6,261266,100,1,14,"pioglitazone 15 MG Oral Tablet [Actos]","Actos 15 MG Oral Tablet","SBD","ENG","N","C0875751",2
"Actos 30 MG Oral Tablet",31136,6,261267,100,1,14,"pioglitazone 30 MG Oral Tablet [Actos]","Actos 30 MG Oral Tablet","SBD","ENG","N","C0875752",2
"Actos 45 MG Oral Tablet",31137,5,261268,100,1,12,"pioglitazone 45 MG Oral Tablet [Actos]","Actos 45 MG Oral Tablet","SBD","ENG","N","C0875753",2
"Acyclovir 200 MG Oral Capsule",19511,2,197310,100,1,36,"Acyclovir 200 MG Oral Capsule","acycycloguanosine 200 MG Oral Capsule","SCD","ENG","N","C0687786",1
"Acyclovir 200 MG/5ML Oral Suspension",26305,1,307730,100,1,16,"Acyclovir 40 MG/ML Oral Suspension","acyclovir 200 MG per 5 ML Oral Suspension","SCD","ENG","N","C0973825",1
"Acyclovir 400 MG Oral Tablet",19512,6,197311,100,1,48,"Acyclovir 400 MG Oral Tablet","acycycloguanosine 400 MG Oral Tablet","SCD","ENG","N","C0687788",1
"Aczone 5 % External Gel",149372,2,701858,60,1,8,"Dapsone 0.05 MG/MG Topical Gel [Aczone]","Aczone 5 % Topical Gel","SBD","ENG","N","C1876969",2
"Adapalene 0.1 % External Cream",158635,1,313852,80,1,16,"adapalene 1 MG/ML Topical Cream","adapalene 0.1 % Topical Cream","SCD","ENG","N","C0981272",1
"Adapalene 0.1 % External Gel",158126,2,307731,80,1,17,"adapalene 0.001 MG/MG Topical Gel","adapalene 0.1 % Topical Gel","SCD","ENG","N","C0973827",1
"Adcirca 20 MG Oral Tablet",153077,3,849866,100,1,13,"tadalafil 20 MG Oral Tablet [Adcirca]","Adcirca 20 MG Oral Tablet","SBD","ENG","N","C2684766",2
"Adderall 10 MG Oral Tablet",24420,2,541894,100,1,6,"Amphetamine aspartate 2.5 MG / Amphetamine Sulfate 2.5 MG / Dextroamphetamine saccharate 2.5 MG / Dextroamphetamine Sulfate 2.5 MG Oral Tablet [Adderall]","Adderall 10 MG Oral Tablet","SBD","ENG","N","C1585475",2
"Adderall 20 MG Oral Tablet",24421,2,577962,100,1,6,"Amphetamine aspartate 5 MG / Amphetamine Sulfate 5 MG / Dextroamphetamine saccharate 5 MG / Dextroamphetamine Sulfate 5 MG Oral Tablet [Adderall]","Adderall 20 MG Oral Tablet","SBD","ENG","N","C1614776",2
"Adderall 30 MG Oral Tablet",24422,1,541365,100,1,6,"Amphetamine aspartate 7.5 MG / Amphetamine Sulfate 7.5 MG / Dextroamphetamine saccharate 7.5 MG / Dextroamphetamine Sulfate 7.5 MG Oral Tablet [Adderall]","Adderall 30 MG Oral Tablet","SBD","ENG","N","C1585327",2
"Adderall XR 10 MG Oral Capsule Extended Release 24 Hour",99900,3,861222,100,1,4,"24 HR Amphetamine aspartate 2.5 MG / Amphetamine Sulfate 2.5 MG / Dextroamphetamine saccharate 2.5 MG / Dextroamphetamine Sulfate 2.5 MG Extended Release Oral Capsule [Adderall]","Adderall XR 10 MG 24 HR Extended Release Oral Capsule","SBD","ENG","N","C2719906",2
"Adderall XR 15 MG Oral Capsule Extended Release 24 Hour",100972,3,861224,100,1,4,"24 HR Amphetamine aspartate 3.75 MG / Amphetamine Sulfate 3.75 MG / Dextroamphetamine saccharate 3.75 MG / Dextroamphetamine Sulfate 3.75 MG Extended Release Oral Capsule [Adderall]","Adderall XR 15 MG 24 HR Extended Release Oral Capsule","SBD","ENG","N","C2719908",2
"Adderall XR 20 MG Oral Capsule Extended Release 24 Hour",99901,4,861226,100,1,4,"24 HR Amphetamine aspartate 5 MG / Amphetamine Sulfate 5 MG / Dextroamphetamine saccharate 5 MG / Dextroamphetamine Sulfate 5 MG Extended Release Oral Capsule [Adderall]","Adderall XR 20 MG 24 HR Extended Release Oral Capsule","SBD","ENG","N","C2719910",2
"Adderall XR 25 MG Oral Capsule Extended Release 24 Hour",100973,2,861228,100,1,4,"24 HR Amphetamine aspartate 6.25 MG / Amphetamine Sulfate 6.25 MG / Dextroamphetamine saccharate 6.25 MG / Dextroamphetamine Sulfate 6.25 MG Extended Release Oral Capsule [Adderall]","Adderall XR 25 MG 24 HR Extended Release Oral Capsule","SBD","ENG","N","C2719911",2
"Adderall XR 30 MG Oral Capsule Extended Release 24 Hour",99902,4,861233,100,1,4,"24 HR Amphetamine aspartate 7.5 MG / Amphetamine Sulfate 7.5 MG / Dextroamphetamine saccharate 7.5 MG / Dextroamphetamine Sulfate 7.5 MG Extended Release Oral Capsule [Adderall]","Adderall XR 30 MG 24 HR Extended Release Oral Capsule","SBD","ENG","N","C2719913",2
"Adderall XR 5 MG Oral Capsule Extended Release 24 Hour",100971,2,861238,100,1,4,"24 HR Amphetamine aspartate 1.25 MG / Amphetamine Sulfate 1.25 MG / Dextroamphetamine saccharate 1.25 MG / Dextroamphetamine Sulfate 1.25 MG Extended Release Oral Capsule [Adderall]","Adderall XR 5 MG 24 HR Extended Release Oral Capsule","SBD","ENG","N","C2719915",2
"Advair HFA 115-21 MCG/ACT Inhalation Aerosol",134787,1,896245,70,1,3,"120 ACTUAT Fluticasone propionate 0.115 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair]","Advair HFA 115/21 Metered Dose Inhaler, 120 ACTUAT","SBD","ENG","N","C2731901",2
"Advair HFA 230-21 MCG/ACT Inhalation Aerosol",134778,1,896273,70,1,3,"120 ACTUAT Fluticasone propionate 0.23 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair]","Advair HFA 230/21 Metered Dose Inhaler, 120 ACTUAT","SBD","ENG","N","C2731919",2
"Advair HFA 45-21 MCG/ACT Inhalation Aerosol",134794,1,896237,70,1,4,"120 ACTUAT Fluticasone propionate 0.045 MG/ACTUAT / salmeterol 0.021 MG/ACTUAT Metered Dose Inhaler [Advair]","Advair HFA 45/21 Metered Dose Inhaler, 120 ACTUAT","SBD","ENG","N","C2731893",2
"Advil 200 MG Oral Capsule",98913,1,731533,100,1,10,"Ibuprofen 200 MG Oral Capsule [Advil]","Advil 200 MG Oral Capsule","SBD","ENG","N","C0716349",2
"Afinitor 10 MG Oral Tablet",151630,3,845512,100,1,7,"everolimus 10 MG Oral Tablet [Afinitor]","Afinitor 10 MG Oral Tablet","SBD","ENG","N","C2682859",2
"Afinitor 5 MG Oral Tablet",151608,2,845518,100,1,7,"everolimus 5 MG Oral Tablet [Afinitor]","Afinitor 5 MG Oral Tablet","SBD","ENG","N","C2682864",2
"Afrin Nasal Spray 0.05 % Nasal Solution",11910,1,1000992,75,1,12,"Oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Afrin]","Afrin 0.05 % Nasal Spray","SBD","ENG","N","C0305180",2
"Aggrenox 25-200 MG Oral Capsule Extended Release 12 Hour",31564,5,1362082,73,1,11,"Aspirin 25 MG / Dipyridamole 200 MG Oral Capsule [Aggrenox]","ASA 25 MG / Dipyridamole 200 MG Oral Capsule [Aggrenox]","SBD","ENG","N","C2719421",2
"Alavert Allergy/Sinus 5-120 MG Oral Tablet Extended Release 12 Hour",112422,1,1242401,71,1,6,"12 HR Loratadine 5 MG / Pseudoephedrine sulfate 120 MG Extended Release Oral Tablet [Alavert D]","Alavert D (loratadine 5 MG / pseudoephedrine sulfate 120 MG) 12 HR Extended Release Oral Tablet","SBD","ENG","N","C1642802",2
"Albuterol Sulfate (2.5 MG/3ML) 0.083% Inhalation Nebulization Solution",12505,22,630208,91,1,17,"Albuterol 0.83 MG/ML Inhalant Solution","albuterol 0.083 % Inhalant Solution","SCD","ENG","N","C1696556",1
"Albuterol Sulfate (5 MG/ML) 0.5% Inhalation Nebulization Solution",70,2,245314,73,1,10,"Albuterol 1 MG/ML Inhalant Solution","albuterol 0.5 % Concentrate for Inhalant Solution","SCD","ENG","N","C0785994",1
"Albuterol Sulfate 0.63 MG/3ML Inhalation Nebulization Solution",138330,3,351137,89,1,15,"Albuterol 0.21 MG/ML Inhalant Solution","albuterol sulfate 0.021 % (0.63 MG/3 ML) Inhalant Solution","SCD","ENG","N","C1168689",1
"Albuterol Sulfate 1.25 MG/3ML Inhalation Nebulization Solution",128852,2,351136,89,1,17,"Albuterol 0.417 MG/ML Inhalant Solution","albuterol 0.042 % (1.25 MG/3 ML) Inhalant Solution","SCD","ENG","N","C1168688",1
"Albuterol Sulfate 2 MG/5ML Oral Syrup",72,1,755497,100,1,18,"Albuterol 0.4 MG/ML Oral Solution","albuterol 2 MG per 5 ML Syrup","SCD","ENG","N","C0687802",1
"Alendronate Sodium 35 MG Oral Tablet",139533,3,904396,100,1,21,"Alendronic acid 35 MG Oral Tablet","alendronic acid 35 MG (as alendronate sodium 45.7 MG) Oral Tablet","SCD","ENG","N","C0981274",1
"Alendronate Sodium 70 MG Oral Tablet",139527,8,904431,100,1,27,"Alendronic acid 70 MG Oral Tablet","alendronic acid 70 MG (as alendronate sodium 91.4 MG) Oral Tablet","SCD","ENG","N","C0973924",1
"Alinia 500 MG Oral Tablet",129121,1,540617,100,1,7,"nitazoxanide 500 MG Oral Tablet [Alinia]","Alinia 500 MG Oral Tablet","SBD","ENG","N","C1585112",2
"All Day Allergy 10 MG Oral Tablet",139532,1,1014678,100,1,8,"cetirizine hydrochloride 10 MG Oral Tablet","cetirizine HCl 10 MG Oral Tablet","SCD","ENG","N","C0975470",1
"Allegra 180 MG TABS",25779,1,997422,100,1,13,"Fexofenadine hydrochloride 180 MG Oral Tablet [Allegra]","Allegra 180 MG Oral Tablet","SBD","ENG","N","C0938972",2
"Allegra 30 MG/5ML SUSP",135522,3,997493,100,1,11,"Fexofenadine hydrochloride 6 MG/ML Oral Suspension [Allegra]","Allegra 6 MG/ML Oral Suspension","SBD","ENG","N","C1813542",2
"Allegra Allergy 60 MG Oral Tablet",161617,1,997502,100,1,10,"Fexofenadine hydrochloride 60 MG Oral Tablet [Allegra]","Allegra 60 MG Oral Tablet","SBD","ENG","N","C0875865",2
"Allegra Allergy Childrens 30 MG Oral Tablet",161635,1,997484,88,1,7,"Fexofenadine hydrochloride 30 MG Disintegrating Oral Tablet [Allegra]","Allegra 30 MG Disintegrating Oral Tablet","SBD","ENG","N","C1965892",2
"Allegra Allergy Childrens 30 MG Oral Tablet Dispersible",161600,1,997484,78,1,7,"Fexofenadine hydrochloride 30 MG Disintegrating Oral Tablet [Allegra]","Allegra 30 MG Disintegrating Oral Tablet","SBD","ENG","N","C1965892",2
"Allegra Allergy Childrens 30 MG/5ML Oral Suspension",161610,1,997493,80,1,11,"Fexofenadine hydrochloride 6 MG/ML Oral Suspension [Allegra]","Allegra 6 MG/ML Oral Suspension","SBD","ENG","N","C1813542",2
"Allegra ODT 30 MG TBDP",143235,2,997484,56,1,10,"Fexofenadine hydrochloride 30 MG Disintegrating Oral Tablet [Allegra]","Allegra 30 MG Disintegrating Oral Tablet","SBD","ENG","N","C1965892",2
"Allegra-D 12 Hour 60-120 MG TB12",123137,8,997512,54,1,14,"12 HR Fexofenadine hydrochloride 60 MG / Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet [Allegra-D]","Allegra-D 12 Hour (fexofenadine hydrochloride 60 MG / pseudoephedrine hydrochloride 120 MG) Extended Release Oral Tablet","SBD","ENG","N","C0716180",2
"Allegra-D 24 Hour 180-240 MG TB24",123299,4,997515,54,1,13,"24 HR Fexofenadine hydrochloride 180 MG / Pseudoephedrine Hydrochloride 240 MG Extended Release Oral Tablet [Allegra-D]","Allegra-D 24 Hour (fexofenadine hydrochloride 180 MG / pseudoephedrine hydrochloride 240 MG) Extended Release Oral Tablet","SBD","ENG","N","C1616745",2
"Allegra-D Allergy & Congestion 180-240 MG Oral Tablet Extended Release 24 Hour",161592,1,997515,93,1,12,"24 HR Fexofenadine hydrochloride 180 MG / Pseudoephedrine Hydrochloride 240 MG Extended Release Oral Tablet [Allegra-D]","Allegra-D 24 Hour (fexofenadine hydrochloride 180 MG / pseudoephedrine hydrochloride 240 MG) Extended Release Oral Tablet","SBD","ENG","N","C1616745",2
"Allopurinol 100 MG Oral Tablet",12611,9,197319,100,1,36,"Allopurinol 100 MG Oral Tablet","","SCD","ENG","N","C0687812",1
"Allopurinol 300 MG Oral Tablet",12612,6,197320,100,1,34,"Allopurinol 300 MG Oral Tablet","","SCD","ENG","N","C0687813",1
"Alpha-Lipoic Acid 100 MG Oral Tablet",154988,1,1115555,100,1,2,"Thioctic Acid 100 MG Oral Tablet","alpha lipoic acid 100 MG Oral Tablet","SCD","ENG","N","C1357517",1
"ALPRAZolam 0.25 MG Oral Tablet",12616,8,308047,100,1,39,"Alprazolam 0.25 MG Oral Tablet","","SCD","ENG","N","C0974159",1
"ALPRAZolam 0.5 MG Oral Tablet",12617,12,308048,100,1,37,"Alprazolam 0.5 MG Oral Tablet","","SCD","ENG","N","C0974160",1
"ALPRAZolam 1 MG Oral Tablet",12618,10,197321,100,1,44,"Alprazolam 1 MG Oral Tablet","","SCD","ENG","N","C0687816",1
"ALPRAZolam 2 MG Oral Tablet",12546,5,197322,100,1,23,"Alprazolam 2 MG Oral Tablet","","SCD","ENG","N","C0687817",1
"Altace 10 MG Oral Capsule",12620,1,260333,100,1,10,"Ramipril 10 MG Oral Capsule [Altace]","Altace 10 MG Oral Capsule","SBD","ENG","N","C0874695",2
"Aluminum Chloride 20 % External Solution",151462,2,308071,80,1,9,"aluminum chloride 200 MG/ML Topical Solution","aluminum chloride 20 % Topical Solution","SCD","ENG","N","C0974187",1
"Amantadine HCl 100 MG Oral Capsule",12636,4,849389,100,1,24,"Amantadine Hydrochloride 100 MG Oral Capsule","","SCD","ENG","N","C0687824",1
"Amantadine HCl 100 MG Oral Tablet",111282,3,849395,100,1,16,"Amantadine Hydrochloride 100 MG Oral Tablet","","SCD","ENG","N","C0694423",1
"Ambien 10 MG Oral Tablet",12569,2,854875,100,1,15,"Zolpidem tartrate 10 MG Oral Tablet [Ambien]","Ambien 10 MG Oral Tablet","SBD","ENG","N","C0712713",2
"Ambien 5 MG Oral Tablet",12640,1,854878,100,1,13,"Zolpidem tartrate 5 MG Oral Tablet [Ambien]","Ambien 5 MG Oral Tablet","SBD","ENG","N","C0712699",2
"Ambien CR 12.5 MG Oral Tablet Extended Release",131087,4,854882,100,1,17,"Zolpidem tartrate 12.5 MG Extended Release Oral Tablet [Ambien]","Ambien CR 12.5 MG Extended Release Oral Tablet","SBD","ENG","N","C1628353",2
"Ambien CR 6.25 MG Oral Tablet Extended Release",131091,1,854896,100,1,12,"Zolpidem tartrate 6.25 MG Extended Release Oral Tablet [Ambien]","Ambien CR 6.25 MG Extended Release Oral Tablet","SBD","ENG","N","C1630664",2
"AMILoride HCl 5 MG Oral Tablet",12694,1,977880,100,1,17,"Amiloride Hydrochloride 5 MG Oral Tablet","","SCD","ENG","N","C0687831",1
"Amiloride-Hydrochlorothiazide 5-50 MG Oral Tablet",12582,3,977883,88,1,20,"Amiloride Hydrochloride 5 MG / Hydrochlorothiazide 50 MG Oral Tablet","amiloride hydrochloride 5 MG / HCTZ 50 MG Oral Tablet","SCD","ENG","N","C0974218",1
"Amiodarone HCl 200 MG Oral Tablet",26310,9,833528,100,1,27,"Amiodarone hydrochloride 200 MG Oral Tablet","","SCD","ENG","N","C0687868",1
"Amiodarone HCl 400 MG Oral Tablet",123349,1,834348,100,1,13,"Amiodarone hydrochloride 400 MG Oral Tablet","","SCD","ENG","N","C0937346",1
"Amitiza 24 MCG Oral Capsule",133586,1,617768,100,1,11,"lubiprostone 0.024 MG Oral Capsule [Amitiza]","Amitiza 24 MCG Oral Capsule","SBD","ENG","N","C1697544",2
"Amitiza 8 MCG Oral Capsule",142416,1,794641,100,1,10,"lubiprostone 0.008 MG Oral Capsule [Amitiza]","Amitiza 8 MCG Oral Capsule","SBD","ENG","N","C2342829",2
"Amitriptyline HCl 10 MG Oral Tablet",12648,33,856783,100,1,19,"Amitriptyline Hydrochloride 10 MG Oral Tablet","","SCD","ENG","N","C0687869",1
"Amitriptyline HCl 100 MG Oral Tablet",12712,4,856762,100,1,20,"Amitriptyline Hydrochloride 100 MG Oral Tablet","","SCD","ENG","N","C0687871",1
"Amitriptyline HCl 25 MG Oral Tablet",12713,28,856834,100,1,20,"Amitriptyline Hydrochloride 25 MG Oral Tablet","","SCD","ENG","N","C0981269",1
"Amitriptyline HCl 50 MG Oral Tablet",12650,5,856845,100,1,20,"Amitriptyline Hydrochloride 50 MG Oral Tablet","","SCD","ENG","N","C0687874",1
"Amitriptyline HCl 75 MG Oral Tablet",12651,1,856853,100,1,18,"Amitriptyline Hydrochloride 75 MG Oral Tablet","","SCD","ENG","N","C0687875",1
"Amlodipine Besy-Benazepril HCl 10-20 MG Oral Capsule",137178,3,898342,78,1,23,"Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule","Amlodipine 10 MG / BZP hydrochloride 20 MG Oral Capsule","SCD","ENG","N","C1165019",1
"Amlodipine Besy-Benazepril HCl 10-40 MG Oral Capsule",160649,3,898346,78,1,19,"Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule","Amlodipine 10 MG / BZP hydrochloride 40 MG Oral Capsule","SCD","ENG","N","C1695067",1
"Amlodipine Besy-Benazepril HCl 2.5-10 MG Oral Capsule",137105,1,898350,80,1,19,"Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule","Amlodipine 2.5 MG / BZP hydrochloride 10 MG Oral Capsule","SCD","ENG","N","C0974287",1
"Amlodipine Besy-Benazepril HCl 5-10 MG Oral Capsule",137110,3,898353,78,1,24,"Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule","Amlodipine 5 MG / BZP hydrochloride 10 MG Oral Capsule","SCD","ENG","N","C0974288",1
"Amlodipine Besy-Benazepril HCl 5-20 MG Oral Capsule",137077,4,898356,78,1,24,"Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule","Amlodipine 5 MG / BZP hydrochloride 20 MG Oral Capsule","SCD","ENG","N","C0974289",1
"AmLODIPine Besylate 10 MG Oral Tablet",136417,15,308135,100,1,73,"Amlodipine 10 MG Oral Tablet","amlodipine (as amlodipine besylate) 10 MG Oral Tablet","SCD","ENG","N","C0974285",1
"AmLODIPine Besylate 2.5 MG Oral Tablet",136143,9,308136,100,1,51,"Amlodipine 2.5 MG Oral Tablet","amlodipine (as amlodipine besylate) 2.5 MG Oral Tablet","SCD","ENG","N","C0974286",1
"AmLODIPine Besylate 5 MG Oral Tablet",136409,10,197361,100,1,73,"Amlodipine 5 MG Oral Tablet","amlodipine (as amlodipine besylate) 5 MG Oral Tablet","SCD","ENG","N","C0687883",1
"Ammonium Lactate 12 % External Cream",28890,2,543460,80,1,16,"ammonium lactate 120 MG/ML Topical Cream","ammonium lactate 12 % Topical Cream","SCD","ENG","N","C1588648",1
"Amoclan 600-42.9 MG/5ML SUSR",143247,1,853055,29,1,1,"Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML [Amoclan]","","SBDC","ENG","N","C2701950",7
"Amoxicillin 125 MG/5ML Oral Suspension Reconstituted",5028,7,313797,88,1,5,"Amoxicillin 25 MG/ML Oral Suspension","amoxicillin (as amoxicillin trihydrate) 125 MG per 5 ML Oral Suspension","SCD","ENG","N","C0981209",1
"Amoxicillin 200 MG/5ML Oral Suspension Reconstituted",111301,3,313850,80,1,20,"Amoxicillin 40 MG/ML Oral Suspension","amoxicillin (as amoxicillin trihydrate) 200 MG per 5 ML Oral Suspension","SCD","ENG","N","C0981270",1
"Amoxicillin 250 MG Oral Capsule",4650,2,308182,100,1,44,"Amoxicillin 250 MG Oral Capsule","","SCD","ENG","N","C0974340",1
"Amoxicillin 250 MG Oral Tablet Chewable",144,2,598025,100,1,13,"Amoxicillin 250 MG Chewable Tablet","","SCD","ENG","N","C0974341",1
"Amoxicillin 250 MG/5ML Oral Suspension Reconstituted",5030,10,239191,88,1,5,"Amoxicillin 50 MG/ML Oral Suspension","amoxicillin 250 MG per 5 ML Oral Suspension","SCD","ENG","N","C0776224",1
"Amoxicillin 400 MG/5ML Oral Suspension Reconstituted",111302,23,308189,80,1,3,"Amoxicillin 80 MG/ML Oral Suspension","amoxicillin (as amoxicillin trihydrate) 400 MG per 5 ML Oral Suspension","SCD","ENG","N","C0974347",1
"Amoxicillin 500 MG Oral Capsule",147,19,308191,100,1,70,"Amoxicillin 500 MG Oral Capsule","","SCD","ENG","N","C0974349",1
"Amoxicillin 500 MG Oral Tablet",97661,20,308192,100,1,16,"Amoxicillin 500 MG Oral Tablet","","SCD","ENG","N","C0974350",1
"Amoxicillin 875 MG Oral Tablet",97724,11,308194,100,1,18,"Amoxicillin 875 MG Oral Tablet","amoxicillin (as amoxicillin trihydrate) 875 MG Oral Tablet","SCD","ENG","N","C0974353",1
"Amoxicillin-Pot Clavulanate 1000-62.5 MG Oral Tablet Extended Release 12 Hour",157169,1,617995,93,1,11,"12 HR Amoxicillin 1000 MG / Clavulanate 62.5 MG Extended Release Oral Tablet","amoxicillin 1000 MG / clavulanate 62.5 MG 12 HR Extended Release Oral Tablet","SCD","ENG","N","C1177353",1
